left_doc_id,right_doc_id,left_doc_length,left_start,right_start,left_end,right_end,score,left_bill_title,right_bill_title,left,right,label
tn_107_SB55,or_2015 Regular Session_SB498,273,5,103,7,105,24,"Annexation - As enacted, requires municipality to notify affected property owners by mail of proposed extension of corporate limits under certain circumstances and requires publication in newspaper. - Amends TCA Title 6, Chapter 51 and Title 6, Chapter 58, Part 1.",Relating to annexation of territory by city.,in the territory proposed for annexation,in the territory proposed for annexation,1
mi_2011-2012_HB4363,ar_2011_HB1987,568,50,660,82,696,45.5,Labor; fair employment practices; use of credit history in the hiring process; prohibit. Creates new act.,TO PROHIBIT THE USE OF CONSUMER CREDIT INFORMATION FOR EMPLOYMENT PURPOSES.,"this act shall be known and may be cited as the ""job applicant credit privacy act"".","this subchapter shall be known and may be cited as the ""employee - credit privacy act"".",1
md_2010_HB458,il_95th_HB1252,269,139,564,150,574,25.5,"Washington County - County Contributions to Private or Cooperative Public
 Improvement Projects",CNTY CD-CONTRACTS,"of this section, the county commissioners may contract, without advertising for","of this section, a county - may let without advertising for",2
ny_2015-2016_A2177A,nj_215_A3306,992,52,50,57,55,40,Establishes a tax credit for the purchase and installation of geothermal energy systems,Allows credit under corporation business tax and gross income tax for costs of installing certain alternative energy systems.,taxpayer shall be allowed a credit against the tax imposed,taxpayer shall be allowed a credit against the tax imposed,1
ky_2011 Regular Session_HB288,nc_2013_HB565,3770,275,2771,299,2807,28.5,"AN ACT relating to real estate appraisal management companies. Create new sections of KRS Chapter 324A to define terms related to real estate appraisal management companies; require registration of real estate appraisal management companies with the board and provide qualifications and limitations on registration; require board to establish a reasonable filing fee in administrative regulation; specify the inclusion of the annual national registry fee required under federal law and maintained by the Appraisal Subcommittee of the Federal Financial Institutions Examination Council; require surety bond not to exceed $500,000; require registrants and persons owning 10% or more of the registrant to submit to a national criminal history check through the Federal Bureau of Investigation; provide requirements for registered companies and their employees, directors, officers, and agents; require executive director of the board to maintain a register of all applicants; grant board the authority to penalize registrants for specified offenses; exempt specified parties from provisions of the Act; specify that the Act shall be known as the Kentucky Appraisal Management Company Registration Act.",Amend Real Estate Appraisers' Laws/Fees.,"information required by the secretary of state, the changes - - - shall be provided to the",information required by the department of justice. the applicant's or registrant's fingerprints shall be forwarded to the,2
va_2014_HB503,tn_108_HB2531,6723,3,3008,20,3026,22,Charter; Town of Victoria.,"Samburg - As introduced, subject to local approval, rewrites the town charter to clarify the duties of the town recorder, town attorney, and town judge; revises the town budget and tax provisions; adds conflict of interest provisions governing town officers and employees. - Amends Chapter 193 of the Private Acts of 1947; as amended.",a body politic and corporate shall be vested in the council. the town,a body politic and corporate under and by the name of the town,0
mn_2009-2010_HF59,ms_2010_SB3073,833,12,564,17,569,9,Environmental Justice Act established.,Task Force to Study Strategies for Solving the Current Teacher Shortage in Mississippi; establish.,task force on environmental 5justice issues. the council shall consist of,task force for business and determine the date and locations of,0
ca_20112012_SB1082,hi_2015 Regular Session_HB446,4684,48,2049,53,2054,49,Protection of victims: address confidentiality.,RELATING TO ADDRESS CONFIDENTIALITY.,"address means a residential street address, school address, or work address of an individual, as specified on the individualÕs application to be a program participant under this","address means a residential, work, or school - - - address - - - as specified on an individualÕs application to be a program participant under this",1
nj_216_A3184,mi_2011-2012_HB4761,1966,202,983,207,988,20,"Establishes notification, signage, and monitoring requirements related to combined sewer overflows.",Villages; home rule; minimum staffing requirements for village employees; prohibit. Amends sec. 26 of 1909 PA 278 (MCL 78.26).,of a combined sewer overflow,of a combined sewer overflow,1
tx_82_HB1100,ny_2015-2016_S858,344,157,231,177,251,25,Relating to the correction of voter registration records following a change of address submitted to the United States Postal Service.,"Provides that the board of elections shall transfer a registration and enrollment of a voter to wherever they move in the state, even if it's a new county","change of address under chapter 20. (b) at least monthly, the registrar shall request from the united states postal service","change of address is not for voter registration purposes, notices of change of address from the united states postal service",2
nm_2012_HB270,nj_213_A2802,7618,165,890,170,895,24,STATE EMPLOYEE & TEACHER RETIREMENT CHANGES,Provides additional retirement benefits to certain employees of State government; limits number of employees hired thereafter to fill vacancies created. *,or more years of service credit,or more years of service credit,2
tx_82_SB1324,ny_2013-2014_S4617,1103,20,4776,26,4782,24,Relating to gestational agreements.,Establishes the child-parent security act; repealer,the intended parent or parents and,the intended parent or parents and,1
mi_2013-2014_HB4533,ga_2015_16_HR238,362,50,234,56,240,20,Vehicles; fund-raising registration plates; distribution of funds from sale of fund-raising registration plate for girl scouts of America; provide for. Amends secs. 3 & 4 of 2010 PA 347 (MCL 206.923 & 206.924).,"Wolff, Alexandra; Girl Scout Gold Award; commend",the girl scouts of america,the girl scouts of america,2
mt_2013_HB201,sd_2012_HB1192,236,116,67,120,71,16,Revise personal property execution of judgment exemption,amend certain limited liability company language.,of the judgment debtor,of the judgment debtor,2
va_2014_HB503,ma_187th_H4209,6723,17,8005,23,8011,26,Charter; Town of Victoria.,An Act Establishing a Charter for the Town of Hubbardston,"the duties of their respective offices, be sworn in accordance with the laws of",the position of town clerk shall be appointed in accordance with the provisions of,0
ks_2013-2014_HB2157,md_2007_SB568,14428,231,947,234,950,23.5,Kansas dental board; licensure of dental practitioners.,Health Occupations - Supervised Practice - Dental Hygienist,under the - supervision of a licensed dentist,under the general supervision of a licensed dentist,2
ri_2014_SB2791,or_2011 Regular Session_HB3348,1493,4,78,5,79,19,AN ACT RELATING TO EDUCATION - AVERAGE DAILY MEMBERSHIP - SCHOOL POPULATION (Requires the prioritizing of state aid for the funding of full-day kindergarten programs. The commissioner of elementary and secondary education would rank all eligible school districts to ensure the quality and sustainability of each program.),Establishes grant program for purpose of improving development of students' skills in mathematics and English.,the school district is a public school district; and (2) the,the school district has a four-day school week. (b) for the,2
nm_2012_SB371,md_2008_SB909,5921,375,169,382,176,15.5,STATE ETHICS COMMISSION ACT,"Maryland Agricultural Land Preservation Foundation - Board of Trustees - Young
 Farmer",and not subject to - the provisions of the inspection of,and generally relating to expanding the membership of the board of,0
nj_215_A1894,tx_82_HB72,626,28,47,41,57,46.5,Allows certain National Guard and United States Reserve members on federal active duty to receive temporary suspension of payment of interest on mortgage loan.,Relating to exempting certain military personnel from motor vehicle registration fees.,a member of the national guard - - - - - - or a reserve component of the armed forces of the united states,"a member of the national guard on federal active duty, or a member - of the armed forces of the united states",2
mi_2011-2012_HB4090,ma_187th_H1225,2163,169,1429,174,1434,18,Human services; medical services; office of medicaid inspector general; create. Creates new act.,An Act concerning Medicaid and Accountable Care,the administration of the medical assistance program in michigan. the office of,the administration of the program shall be determined at the start of,0
nj_216_S76,nc_2013_HB368,10181,21,189,28,196,20,"Changes certain eligibility criteria for TPAF, JRS, PERS, PFRS and SPRS disability benefits; requires Attorney General to establish fraud unit; creates temporary committee to recommend accidental disability standard for systems.",Bd. of Agriculture Forestry/Nursery Appts.-AB,the results of such applications shall be reported to the,the members of such board shall be appointed by the,0
nm_2012_HB270,nj_213_A3704,7618,163,1204,168,1209,24,STATE EMPLOYEE & TEACHER RETIREMENT CHANGES,Offers surviving spouse of TPAF or PERS member with 25 or more years of service choice of deferred pension instead of current return of contributions and non-contributory life insurance.,or more years of service credit,or more years of service credit,0
nm_2012_SB371,hi_2015 Regular Session_SB476,5921,15,117,19,121,14,STATE ETHICS COMMISSION ACT,RELATING TO DISCLOSURES.,commission and make recommendations to the,commission shall make available to the,0
ky_2011 Regular Session_HB288,or_2013 Regular Session_HB2061,3770,283,167,288,172,20,"AN ACT relating to real estate appraisal management companies. Create new sections of KRS Chapter 324A to define terms related to real estate appraisal management companies; require registration of real estate appraisal management companies with the board and provide qualifications and limitations on registration; require board to establish a reasonable filing fee in administrative regulation; specify the inclusion of the annual national registry fee required under federal law and maintained by the Appraisal Subcommittee of the Federal Financial Institutions Examination Council; require surety bond not to exceed $500,000; require registrants and persons owning 10% or more of the registrant to submit to a national criminal history check through the Federal Bureau of Investigation; provide requirements for registered companies and their employees, directors, officers, and agents; require executive director of the board to maintain a register of all applicants; grant board the authority to penalize registrants for specified offenses; exempt specified parties from provisions of the Act; specify that the Act shall be known as the Kentucky Appraisal Management Company Registration Act.",Reduces amount of time that appraisal management company has to make payment to independent contractor appraiser for completion of appraisal or appraisal review assignment.,by an appraisal management company,by an appraisal management company,2
ut_2015_SB115,la_2012_SB719,813,51,64,55,68,11,Assault Offenses Amendments,Provides for legislation relative to justifiable homicide.,"force or violence, to",force or violence; to,0
nj_214_S1033,az_49th-2nd-regular_SB1011,1806,18,1,30,10,24,Clarifies that punitive damages may not be awarded against public entities or public employees acting within the scope of their employment in any action.,concealed weapons; faculty; school grounds,the awarding of punitive damages against a public entity or public,"the agent of the sponsor, including a public entity or public",0
mn_2009-2010_HF59,md_2009_HB801,833,24,120,29,125,23.5,Environmental Justice Act established.,Task Force to Study the Economic Impact of Environmental Legislation and Policy,"the task force shall present the action plan to the relevant state agencies, recommending its implementation. (b) the task force shall",the task force shall elect the chair from among the membership. (e) - - - - - the task force shall,0
va_2012_HB628,la_2014_HB521,348,86,247,92,253,14,Voter registration; applicant to provide political party affiliation when registering to vote.,ELECTIONS:ÊÊProvides relative to federal elections,to a political party affiliation or,to the voter's party affiliation or,2
va_2014_HB503,de_147_HB377,6723,67,8769,74,8776,37,Charter; Town of Victoria.,AN ACT TO REINCORPORATE THE TOWN OF TOWNSEND.,the town council shall have the power - - and authority to require owners or occupiers - of the real estate within the corporate limits of the,the town council shall have the power to levy and collect taxes on the transfer of ownership of any real property within the - limits of the,2
va_2014_HB503,de_147_SB158,6723,12,4399,16,4403,31,Charter; Town of Victoria.,AN ACT TO AMEND THE CHARTER OF THE TOWN OF GREENWOOD.,"and collection of all fees, bills, taxes, and licenses chargeable and owed within the corporate limits of the town",and cognizance of all breaches of the peace and other offenses committed within the corporate limits of the town,0
va_2014_HB503,nc_2015_SB156,6723,39,1412,51,1424,17,Charter; Town of Victoria.,Mt. Gilead Charter Revision & Consolidation.,the town without the previous consent of the corporate authorities of the town.,"the ""board,"" and the mayor shall be the governing body of the town.",0
ky_2011 Regular Session_HB288,sc_2013-2014_S349,3770,5,409,20,424,266,"AN ACT relating to real estate appraisal management companies. Create new sections of KRS Chapter 324A to define terms related to real estate appraisal management companies; require registration of real estate appraisal management companies with the board and provide qualifications and limitations on registration; require board to establish a reasonable filing fee in administrative regulation; specify the inclusion of the annual national registry fee required under federal law and maintained by the Appraisal Subcommittee of the Federal Financial Institutions Examination Council; require surety bond not to exceed $500,000; require registrants and persons owning 10% or more of the registrant to submit to a national criminal history check through the Federal Bureau of Investigation; provide requirements for registered companies and their employees, directors, officers, and agents; require executive director of the board to maintain a register of all applicants; grant board the authority to penalize registrants for specified offenses; exempt specified parties from provisions of the Act; specify that the Act shall be known as the Kentucky Appraisal Management Company Registration Act.","A BILL TO AMEND THE CODE OF LAWS OF SOUTH CAROLINA, 1976, BY ADDING ARTICLE 3 TO CHAPTER 60, TITLE 40 SO AS TO ENACT THE ""APPRAISAL MANAGEMENT COMPANY REGISTRATION ACT"", TO PROVIDE A CITATION, TO PROVIDE CERTAIN DEFINITIONS, TO REQUIRE REGISTRATION FOR AN ENTITY ACTING AS AN APPRAISAL MANAGEMENT COMPANY, TO SPECIFY REGISTRATION REQUIREMENTS, TO PROVIDE EXEMPTIONS FROM REGISTRATION, TO SPECIFY THE TERM FOR WHICH REGISTRATION IS VALID AND FOR RENEWAL AND CANCELLATION OF REGISTRATIONS, TO PROVIDE FOR REGISTRATION FEES, TO LIMIT OWNERSHIP OF AN APPRAISAL MANAGEMENT COMPANY, TO REQUIRE AN APPLICANT FOR REGISTRATION TO DESIGNATE ONE CONTROLLING PERSON AS THE MAIN CONTACT BETWEEN THE COMPANY AND THE BOARD, TO PROVIDE REQUIREMENTS FOR A CONTROLLING PERSON ACTING AS A MAIN CONTACT BETWEEN A COMPANY AND THE BOARD, TO PROVIDE REQUIREMENTS RELATING TO THE USE AND PAYMENT OF INDEPENDENT APPRAISERS, TO SPECIFY CERTAIN REPORTING REQUIREMENTS OF AN APPRAISAL MANAGEMENT COMPANY, TO MAKE ATTEMPTS BY CERTAIN APPRAISAL MANAGEMENT COMPANY PERSONNEL TO INFLUENCE OR ATTEMPT TO INFLUENCE AN APPRAISAL IN A CERTAIN MANNER, TO PROHIBIT AN APPRAISAL MANAGEMENT COMPANY FROM CHANGING A COMPLETED APPRAISAL OR USING AN APPRAISAL REPORT OR ITS CONTENT PROVIDED BY AN INDEPENDENT APPRAISER IN ANOTHER TRANSACTION, TO PROVIDE RESTRICTIONS ON THE REMOVAL OF AN INDEPENDENT APPRAISER FROM THE APPRAISER PANEL BY AN APPRAISAL MANAGEMENT COMPANY, TO PROVIDE CERTAIN PENALTIES AND REMEDIES THE BOARD MAY IMPOSE FOR A VIOLATION OF THE ARTICLE, TO PROVIDE SURETY BOND REQUIREMENTS FOR AN APPRAISAL MANAGEMENT COMPANY, AND TO PROVIDE THE BOARD MAY PROVIDE ADJUDICATORY PROCEEDINGS PURSUANT TO THE ADMINISTRATIVE PROCEDURES ACT; TO AMEND SECTION 40-60-10, RELATING TO THE REAL ESTATE APPRAISERS BOARD, SO AS TO INCREASE THE MEMBERSHIP OF THE BOARD BY TWO MEMBERS; AND TO DESIGNATE SECTIONS 40-60-5 THROUGH 40-60-230 AS ARTICLE 1 OF CHAPTER 60, TITLE 40, ENTITLED ""REAL ESTATE APPRAISERS"", AND TO RETITLE CHAPTER 60, TITLE 40 AS THE ""REAL ESTATE APPRAISAL PROFESSIONALS ACT"".","owns ten percent (10%) or more of the appraisal management company for which registration is being requested; (d) the name, residential street address, and contact information of a controlling person or managing principal; (e) a certification that the registrant: 1. - has a system and process in place to verify that any person being added to the appraiser panel of the appraisal management company, or who may be used by the appraisal management company to otherwise perform appraisals, holds a license - - in good standing in this state under this chapter; 2. - - - - - - - - - - - - has a system and process in place to review the work of all - appraisers that are performing - - appraisal services for the appraisal management company on a periodic basis to ensure that the - - appraisal services are being conducted in accordance with the minimum uspap standards; and 3. - - - - maintains a detailed record of each - request for appraisal services that it receives and the - appraiser that performs the - - appraisal services for the appraisal management company;","owns ten percent - or more of the appraisal management company; (6) - - - - - - the name, - - address, and contact information for a controlling person; (7) - - - - certification that the entity seeking registration has a system and process in place to verify that a person being added to the appraiser panel of the appraisal management - - - - - - - - - - company - - - - holds a license or certification in good standing in this state pursuant to the south carolina real estate appraisers act; (8) certification that the entity seeking registration has a system - - in place to review the work of all independent appraisers that are performing real estate appraisal services for the appraisal management company on a periodic basis to validate that the real estate appraisal services are being conducted pursuant to uniform standards of professional appraisal practice; (9) certification that the entity maintains a detailed record of each service request - - - that it receives and the independent appraiser that performs the real estate appraisal services for the appraisal management company;",1
va_2014_HB503,tn_108_HB2538,6723,15,730,21,736,30,Charter; Town of Victoria.,"Orme - As introduced, subject to local approval, rewrites the town charter. - Amends Chapter 630 of the Private Acts of 1935.",the amount and condition of surety bonds to be required of such officers and employees of the town as the,the quality and quantity of public services to be rendered by the officers and employees to the inhabitants of the,0
nm_2012_SB371,ct_2012_HB5522,5921,293,32,300,39,19,STATE ETHICS COMMISSION ACT,AN ACT MAKING A TECHNICAL CHANGE TO A STATUTE CONCERNING THE OFFICE OF STATE ETHICS.,"the case of an emergency, the agenda shall be available to",the course of an investigation. no person shall be subject to,0
ky_2011 Regular Session_HB288,mt_2015_HB29,3770,58,1927,67,1936,36,"AN ACT relating to real estate appraisal management companies. Create new sections of KRS Chapter 324A to define terms related to real estate appraisal management companies; require registration of real estate appraisal management companies with the board and provide qualifications and limitations on registration; require board to establish a reasonable filing fee in administrative regulation; specify the inclusion of the annual national registry fee required under federal law and maintained by the Appraisal Subcommittee of the Federal Financial Institutions Examination Council; require surety bond not to exceed $500,000; require registrants and persons owning 10% or more of the registrant to submit to a national criminal history check through the Federal Bureau of Investigation; provide requirements for registered companies and their employees, directors, officers, and agents; require executive director of the board to maintain a register of all applicants; grant board the authority to penalize registrants for specified offenses; exempt specified parties from provisions of the Act; specify that the Act shall be known as the Kentucky Appraisal Management Company Registration Act.",Revise regulation and duties regarding real estate appraisers,the appraisal subcommittee of the federal financial institutions examination,the appraisal subcommittee of the federal financial institutions examination,2
va_2014_HB503,tn_108_SB2625,6723,21,6480,27,6486,38,Charter; Town of Victoria.,"Altamont - As introduced, subject to local approval, rewrites the town charter. - Amends Chapter 664 of the Private Acts of 1917; as amended.","the mayor, four councilmen, shall constitute a quorum for the transaction of business,","the mayor, - - shall constitute a quorum for the transaction of business,",2
nm_2011_HB466,nj_214_S696,626,18,8,29,22,87,MODIFY GROSS LIMITS ON CERTAIN VEHICLES,Authorizes Chief Administrator of New Jersey Motor Vehicle Commission to issue permits for certain overweight trucks and charge fee for such permits.,the total gross weight with load imposed upon the highway - - - by any one group of two or more consecutive axles of a vehicle or combination of vehicles - - - - shall not exceed - - - the gross weight given - - - for the respective distance - - between the - - - - first and last axle of the group of,"the total gross weight, in pounds, imposed on the highway or other surface by any - group of two or more consecutive axles of a vehicle or combination of vehicles, including load or contents, shall not exceed that listed in the following table of maximum gross weights, for the respective distance, in feet, between the axle centers of the first and last axles of the group of",1
ky_2011 Regular Session_HB288,mo_2014_SB648,3770,3,5068,7,5072,84.5,"AN ACT relating to real estate appraisal management companies. Create new sections of KRS Chapter 324A to define terms related to real estate appraisal management companies; require registration of real estate appraisal management companies with the board and provide qualifications and limitations on registration; require board to establish a reasonable filing fee in administrative regulation; specify the inclusion of the annual national registry fee required under federal law and maintained by the Appraisal Subcommittee of the Federal Financial Institutions Examination Council; require surety bond not to exceed $500,000; require registrants and persons owning 10% or more of the registrant to submit to a national criminal history check through the Federal Bureau of Investigation; provide requirements for registered companies and their employees, directors, officers, and agents; require executive director of the board to maintain a register of all applicants; grant board the authority to penalize registrants for specified offenses; exempt specified parties from provisions of the Act; specify that the Act shall be known as the Kentucky Appraisal Management Company Registration Act.",Transfers the Real Estate Appraisers Commission from the Division of Professional Registration to the Division of Finance,"for a fee or other consideration, develops and communicates a real estate appraisal or otherwise gives an opinion of the value of real estate or any interest",for a fee or valuable consideration develops and communicates - real estate appraisals or otherwise gives an opinion of the value of real estate or any interest,2
ky_2011 Regular Session_HB288,tx_82_HB1146,3770,339,793,362,828,45,"AN ACT relating to real estate appraisal management companies. Create new sections of KRS Chapter 324A to define terms related to real estate appraisal management companies; require registration of real estate appraisal management companies with the board and provide qualifications and limitations on registration; require board to establish a reasonable filing fee in administrative regulation; specify the inclusion of the annual national registry fee required under federal law and maintained by the Appraisal Subcommittee of the Federal Financial Institutions Examination Council; require surety bond not to exceed $500,000; require registrants and persons owning 10% or more of the registrant to submit to a national criminal history check through the Federal Bureau of Investigation; provide requirements for registered companies and their employees, directors, officers, and agents; require executive director of the board to maintain a register of all applicants; grant board the authority to penalize registrants for specified offenses; exempt specified parties from provisions of the Act; specify that the Act shall be known as the Kentucky Appraisal Management Company Registration Act.",Relating to the registration and regulation of appraisal management companies; providing penalties.,"the name, street address, and telephone contact - - information of the person seeking registration; (b) 1. if the registrant is","the name, business address, and telephone contact information of the entity seeking registration; (2) if the entity is",2
tn_108_HJR686,fl_2011_H9003,311,284,325,301,341,34.5,"Memorials, Death - Walter Crawford Flowers. -",Mayor John Land,"the family of mr. flowers. be it further resolved, that an appropriate copy of this resolution be",the city of apopka. be it further resolved that a - copy of this resolution be,0
tx_82_SB1324,md_2015_SB273,1103,76,984,84,992,24,Relating to gestational agreements.,Maryland Collaborative Reproduction Act,a parent of a child conceived,a parent of a child conceived,1
ny_2015-2016_S1847,mn_2011-2012_HF797,495,144,167,148,171,16,Allows health insurers to offer out of network coverage outside of the health benefit exchange,Health plans that include out-of-network coverage required to permit assignment of benefits.,outside of the health,outside of the health,0
nm_2012_SB371,hi_2015 Regular Session_SB997,5921,17,159,24,166,14,STATE ETHICS COMMISSION ACT,RELATING TO LOBBYISTS.,the complaint is within the jurisdiction of the commission and warrants investigation. d. the commission shall,the activity which required the lobbyist's registration. the lobbyist and the employer of the lobbyist shall,0
nv_75_AB486,il_96th_SB3374,4143,8,492,11,495,19,Makes various changes to provisions relating to mortgage lending. (BDR 54-230),TITLE INS-CLOSING PROTECTION,by the other party to the,by the indemnified party to the,0
nv_75_AB486,mt_2013_HB117,4143,19,2570,24,2575,23,Makes various changes to provisions relating to mortgage lending. (BDR 54-230),Revise escrow regulation laws,a violation of the provisions of this,a violation of any provisions of this,0
va_2014_HB503,ga_2015_16_HB203,6723,91,10703,97,10709,20,Charter; Town of Victoria.,"Bishop, Town of; provide a new charter",council shall have the power,council shall have the power,0
nm_2012_SB371,sc_2015-2016_S203,5921,154,348,160,354,20,STATE ETHICS COMMISSION ACT,"A BILL TO AMEND CHAPTER 13, TITLE 8 OF THE 1976 CODE, BY ADDING ARTICLE 8, TO PROVIDE THAT THE STATE ETHICS COMMISSION SHALL ADMINISTER TRAINING PROGRAMS ON STATE ETHICS LAWS, TO PROVIDE WHO SHALL ATTEND THE TRAINING SESSIONS, TO PROVIDE WHEN SESSIONS SHALL BE HELD, TO PROVIDE PERSONS QUALIFIED TO TEACH THE SESSIONS, TO PROVIDE ATTENDANCE REQUIREMENTS, AND TO PROVIDE PERSONS REQUIRED TO ATTEND THE SESSIONS ARE NOT PRECLUDED FROM PENALIZATION OR PROSECUTION FOR VIOLATIONS OF ETHICS LAWS PRIOR TO ATTENDING THE SESSIONS.",the effective date of the,the effective date of the,0
ms_2009_SB2924,mo_2013_HB729,4355,319,575,328,584,21,Metal theft; revise.,Modifies the documentation requirements for scrap metal purchases,of this section is a misdemeanor punishable by a,of this section is a minor part of a,0
tn_109_SB1295,tx_83_SB1742,2822,1,743,5,747,8,"General Assembly - As introduced, reestablishes the legislative oversight committees on TennCare and on children's services. - Amends TCA Title 3; Title 4 and Title 71.","Relating to the creation, fiscal oversight and administration of the Texas Housing Innovations Competition Fund; making an appropriation.",an act,an act,0
nj_213_A881,nc_2015_SB187,6834,38,85,41,88,8,Excludes charges for certain membership and initiation fees and dues from sales and use tax.,Air Carrier Fuel Tax Exemption.,is amended,is amended,0
nj_214_S1033,az_51st-1st-regular_SB1472,1806,142,1424,158,1440,12,Clarifies that punitive damages may not be awarded against public entities or public employees acting within the scope of their employment in any action.,misconduct involving weapons; firearm storage,is amended to,is amended to,0
nj_216_S76,ri_2014_SB2592,10181,177,166,186,175,20,"Changes certain eligibility criteria for TPAF, JRS, PERS, PFRS and SPRS disability benefits; requires Attorney General to establish fraud unit; creates temporary committee to recommend accidental disability standard for systems.",AN ACT RELATING TO STATE AFFAIRS AND GOVERNMENT (This act would add the President of the Rhode Island Brotherhood of Correctional Officers and the Chief Justice of the Supreme Court to the Criminal Justice Oversight Committee.),amended to read as follows:,amended to read as follows:,0
co_2012A_HB12-1182,mi_2011-2012_HB4041,2905,68,67,72,71,16,Suppl Approp Dept Of Education,"Civil procedure; other; procedures for actions under sections 25 to 32 of article IX of the state constitution; revise. Amends sec. 308a of 1961 PA 236 (MCL 600.308a) & adds secs. 308b, 308c, 308d, 308e, 308f & 308g. TIE BAR WITH: HB 4038'11",of the state of,of the state of,0
mi_2011-2012_SB1177,nc_2009_HB175,633,317,170,367,221,14.5,"Labor; hours and wages; minimum wage; increase, and index to consumer price index. Amends secs. 4 & 7a of 1964 PA 154 (MCL 408.384 & 408.387a).",State Minimum Wage/Inflation Increases.,the employee - receives gratuities in the,the employee regularly receives tips in the,1
